fc_num,contact_date,street,city,zip,circumstance,basis,key_situations,vehicle_type,sex,race,ethnicity,age,build,skin_tone,was_frisked,narrative
FC20000014,2020-01-02 02:15:00,ESSEX ST,BOSTON,2111,Stopped,Probable Cause,,,Male,Black,Not of Hispanic Origin,35.0,Stocky,,0,"Officers observed a male trespassing in the rear entrance of the 660 Washington St Garage. The individual later identified as XXX and appeared to be smoking something. Officers approached and XXX blew out a large plume of smoke then smashed what was later revealed to be a crack pipe on the ground. XXX informed Officers that he had a degree in Criminal Justice and asked for money to do undercover ""stuff"". Officers ran XXX for warrants to no avail. Prior to departing XXX stated ""You know what they say, once a crackhead always a crackhead."""
FC20000038,2020-01-03 01:00:00,KNAPP ST,BOSTON,2111,Stopped,Probable Cause,,,Male,Black,Not of Hispanic Origin,43.0,Thin,,0,"Officers were traveling down Knapp St when they observed a male sitting down on the ground. The individual was sitting underneath a ""No Trespassing"" and appeared to have the packaging of a crack cocaine on his chest. Officers asked what he was doing to which he stated he was just hanging out. Officers observed him to have cylindrical glass pipe in his right hand which did not have anything resembling crack cocaine in or around it. Officers ranXXXXXXto for warrants to no avail and informed him of his trespass. XXXdeparted the area."
FC20000041,2020-01-03 02:15:00,ESSEX ST,BOSTON,2111,Stopped,Probable Cause,,,Male,White,Not of Hispanic Origin,18.0,Thin,,0,"Officers observed a group under a ""No Trespassing"" sign in the area ofXXX Essex St. This is the rear entrance to the XXX Washington St garage and is utilized on the overnight shift for drug distribution and usage. Officers spoke to XXX who stated he was recently homeless and was just walking around downtown. XXX was ran for warrants to no avail. XXX has a B&E and Poss. Of a Firearm."
FC20000069,2020-01-04 02:00:00,,BOSTON,2121,Stopped,Probable Cause,,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,26.0,Thin,,0,"About 2:00am on 01/04/2020, Officers Kelly and Russell assigned to the HK01A conducted a traffic stop at the intersection of Richfield and Barry Street. Officers were conducting surveillance in the above area due to an increase of 911 calls for suspicious persons/vehicles in the area and concerns of drug usage/sales. Officers observed MA REGXXX driving with no headlights on and suddenly change his direction of travel upon sight of the officers. The driver was identified as XXX, who has prior record of firearms and drug possession and sales. Verbal warning issued for vals. FIO'd and released."
FC20000139,2020-01-07 14:25:00,WASHINGTON ST,BOSTON,2108,Stopped,Probable Cause, Drugs,,Male,Black,Not of Hispanic Origin,54.0,Medium,,1,"A1 DCU drug invest 1/7/20 approx 2:25 pm. XXX, acting as a middleman, facilitated the purchase of crack cocaine from XXX, XXX, and XXX for a U/C. XXX, XXX, and XXX arrested following the transaction at the Corner Mall, 417 Washington St. XXX to be summonsed for Dist B and Conspiracy."
FC20000177,2020-01-09 11:56:00,,BOSTON,2118,Stopped,Probable Cause, Body Worn Camera,,Male,Black,Not of Hispanic Origin,58.0,Thin,,0,"While on directed patrol in the Mass Ave and Melnea Cass Area observed XXX panhandling in front of 891 Mass Ave.XXX collected money from a vehicle and walked across the street and took a seat behind an electrical box. Officer know there multiple clearly posted ""No Trespassing "" signs posted. Officers walked over and observedXXX laying on the ground holding 2 orange rubber tubes.The officer ask where he got tube and what was inside it.XXX stated that at XXXneedle exchange he was given the rubber tubes along with ""XXXy"" and ""XXX"".XXX stated that XXX and XXX are put inside the tube to create a screen or filter to smoke ""Rock"". Which officers know their training and experience is Crack Cocaine.XXX stated that XXXwill give you what ever supplies you need to get high. Officers issuedXXX a verbal trespass warning."
FC20000224,2020-01-10 18:00:00,WASHINGTON ST,BOSTON,2108,Stopped,Probable Cause, Drugs,,Male,Black,Unknown,21.0,,,0,"On 01/10/2020, at about 6:00 PM, Officer Ryan was on patrol in the area of 350 Washington Street, when she observed an unknown male rolling some Marijuana. The male was identified asXXX DOB XX/XX/XXXXThe male did not have any active warrants. He was FIO'D."
FC20000267,2020-01-11 00:00:00,MASSACHUSETTS AVE,DORCHESTER,2125,Stopped,Reasonable Suspicion ," Body Worn Camera, Drugs",Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,22.0,Unknown,,1,"About 1:40 AM on 01/11/20, officers observed XXX operating a blue Nissan MA reg XXX on Mass Ave towards Columbia Road. MV was stopped for excessive tints. MV is registered as a rental and Mr.XXX stated he put the tint on his windows himself. As officers approached there was a distinct smell of marijuana. In plain view was a scale, multiple small plastic bags and the driver stated he had marijuana in his possession. Vehicle was searched and yielded a personal amount of marijuana. Mr.XXX stated he had the bags and scale because his dealer did not carry bags or a scale on his person. When asked why, Mr.XXX stated his dealer did not want to get charged with distribution or trafficking so he asked his ""clients"" to bring them. XXX has a FA charge on his BOP. Hull/ O'Leary F201A"
FC20000311,2020-01-12 14:26:00,WASHINGTON ST,ROXBURY,2119,Stopped,Probable Cause," Body Worn Camera, Drugs",Passenger Car/ Automobile,Female,White,Not of Hispanic Origin,32.0,Medium,,1,"Officers responded to 2275 Washington Street for reports of a female passed out in her vehicle. Officers found XXX slumped over in the driver seat with the keys in the ignition and the vehicle running. Officers recovered an open bag of white rock substance and small plastic bag of tan powder from her lap, along with a lighter and a crack pipe. XXX stated that she was with a ""friend"" that gave her an unknown pill. XXX refused medical treatment and was taken to AHOPE to be monitored for a possible overdose. She was summonsed for OUI drug and Poss Class A&B."
FC20000336,2020-01-12 23:30:00,BOYLSTON ST,BOSTON,2116,Stopped,Reasonable Suspicion , Drugs,,Female,Black,Not of Hispanic Origin,28.0,Thin,,1,"Officers observed a group consisting of 2 unknown black males and 2 unknown black females loitering around the plaza of 2 Boylston Street, an area with a notorious reputation for illegal drug sales. Officers watched as an obvious homeless drug user approached one of the females as they appeared to negotiate a drug transaction. The Officers presence was discovered just before the hand to hand exchange was completed. Officers observed the female and the drug user enter the Downtown Convenience Store and exit quickly within seconds. Officers approached the female and advised her of their observations. The female stated she was in the area because she was “just waiting for a friend.” Officers conducted a pat-frisk yielding no weapons, due to the females continued disregard of the Officers commands to keep her hands out of her pockets. The female gave numerous false names and dates of birth, but eventually gave her true name of XXX (DOB XX/XX/XXXX. A CJIS inquiry revealed thatXXX has a recent 2019 prior guilty distribution Class B charge out of Brockton District Court.XXX was FIO’d for intel. AK01F (McGahan/D’Addieco)"
