fc_num,contact_date,street,city,zip,circumstance,basis,key_situations,vehicle_type,n_people,n_black,n_white,n_other,n_frisked,narrative,was_frisked
FC24005077,2024-12-27 18:15:00.0000000,,DORCHESTER,2125,Stopped,Reasonable Suspicion ,Body Worn Camera,Passenger Car/ Automobile,2,1,1,0,1,"TS for VALS (speeding / defective headlight) MA REG: XXXat the intersection at Hancock Street and Wheelock Ave, Dorchester

Op: XXX(DOB: XX/XX/XXXXOpen Armed Robbery (Firearm)

Front Pass:XXX (DOB: XX/XX/XXXX
Officers observed the following recent CJIS remarks:

XXX
Officers observed XXXexit the vehicle and walk into Boston Pizza & Grill in an attempt to avoid the Officers. Officers were able to detain XXXand get his identification. XXXwas pat frisked to no avail. XXXstated he just got the vehicle from his brother XXX XXXwas confrontational and argumentative on scene. Officers conducted a pat frisk of the MV which resulted in negative results. CJIS inquiry revealed XXXand XXXdid not have an active DL. The vehicle was legally parked and both parties were released from the scene.

MSP and Milford Police were notified.

BK01F/BK02F (Kadey/Kovaleski/Gannon/Gelinas)",1
FC21000606,2021-02-23 17:45:00,COLUMBIA RD,DORCHESTER,2125,Stopped,Probable Cause,,Passenger Car/ Automobile,1,1,0,0,1,"On 02/23/2021 officers initiated M/V stop of a 2002 black BMW XXX(MA REG: XXXat the intersection of Columbia Rd and Bird St. Occupant identified as XXX (DOB: XX/XX/XXXXwho has past F/A and 94C charges out of Georgia. XXXalso had suspended license. M/V frisked to no avail.

XXXto be summonsed out of Dorchester District Court.

H103F (O. Russell/Foley)",1
FC23002997,2023-06-13 01:00:00.0000000,,DORCHESTER,2124,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,1,1,0,0,0,"Tstop for VALS (excessive window tint) of MA REG: XXXat Geneva Ave & Dakota St, Dorchester.

Op identified asXXX Prior F/A's - Active Mission associate).

Op was calm & cordial throughout stop.

Written Citation issued to owner of the vehicle for excessive window tint.

FIO'D to associate occupant with m/v.

H435A (Champagnie).",0
FC23005431,2023-11-16 18:52:00.0000000,BLUE HILL AVE,DORCHESTER,2126,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,3,2,1,0,1,"T/S Black Mercades E-Class (NH REG XXXfor failure to signal (90/14B) at Blue Hill Avenue and Morton Street.

Operator identified as XXX XX/XX/XXXXprior F/A's. 

Front passenger identified as XXX XX/XX/XXXXPrior ammunition charge on 11/04/23.

Rear passenger identified asXXX XX/XX/XXXXMultiple prior F/A's and has been observed with Mission Hill gang members XXXand XXX.

XXXwas observed pinning a fanny pack between his left upper arm and chest.

Officers observed that the seat in front of XXXwas pushed all the way back covering the lower half of his body and he refused to make eye contact with officers as he continuously scrolled through his phone.

Occupants removed, XXXand the vehicle were frisked yielding negative results. 

Officers allowedXXX to operate the vehicle after verifying he possessed a valid driver's license.

All three occupants were cordial throughout the stop.

XXX cited for suspended operation of MV.

C654F/C655F M.Foley/Murray",1
FC22000544,2022-02-14 00:00:00,,BOSTON,2111,Stopped,Probable Cause,,Passenger Car/ Automobile,1,1,0,0,1,"TS for VALS MA REG: XXXat Essex and Oxford Street. (Heavy Tint) (No front plate)

Operator - XXX DOB: XX/XX/XXXX(Wendover Associate)

Multiple Firearms on BOP.

XXXrefused to lower the passengers side window of the vehicle and cracked the drivers side window. Officers were unable to fully observe if any other occupants were in the rear of the vehicle. XXXprovided officers with an active license but was extremely confrontational during the stop. 

For Officer safety Officers ordered XXXout of the vehicle. He locked all the doors and initially refused to step out of the car. Multiple units arrived on scene and XXXwas safely removed and placed in cuffs pending investigation.

Officers conducted a pat frisk of the interior of the vehicle yielding negative results.

Massachusetts Uniform citation issued on scene. XXX
AK01A (Entwistle/Rooney)",1
FC20004238,2020-08-17 08:42:00,GREENWICH ST,ROXBURY,2120,Stopped,Probable Cause," Body Worn Camera, Gang",Passenger Car/ Automobile,1,1,0,0,1,"08/17/2020 8:42AM Officer conducted TS for NJREG#XXX at 9 Greenwich St.

Active Primary Lenox Gang member (XXX) driving rental NJREG#XXX, no license. XXX) robbery and F/A charges on BOP. FIO'd numerous times in this area for drug and F/A activity (Lenox Project Development) 

Suspect to be charged in Rox. District court. 

D411D Fullam R",1
FC21003817,2021-09-27 19:35:00,DEWOLF ST,BOSTON,2125,Stopped,Probable Cause,,Passenger Car/ Automobile,2,0,0,2,2,"T/S for VALs (failure to use turn signal) of MA REG XXXat Hancock Street and Dewolf Street.

CJIS 'recent inquiries section' listed above vehicle as a suspect vehicle in relation to a shooting that took place in Lawrence on North Parish Rd. on 08/28/2021.

Driver/owner identified as XXX Passenger Identified asXXX.

Occupants and vehicle frisked for weapons to no avail. Officers located a natural void behind the back-middle seat cup holder area as well as the rear passenger door panel. 

XXXstated he heard about a shooting in Lawrence further stating ""it was a car that looked like this but it wasn't mine"" Officers inquired where he heard about the vehicle description to which he replied his friends told him.

Lawrence PD/Detectives notified during stop. 

FIO'd and released.

HK01F (Foley/O. Russell)",1
FC21004196,2021-10-27 20:17:00,COTTAGE ST,EAST BOSTON,2128,Stopped,Probable Cause,,Passenger Car/ Automobile,1,1,0,0,1,"About 8:17 pm on Wednesday, October 27th, 2021, Officers Doran and Pels, while riding through the rear of XXXCottage Street observed a tinted Gray sedan parked inside a school parking lot. a query through CJIS showed that the MV, XXXwas registered to XXX, Active Maverick street member with past firearm charges. as officer approached the MV, Officer Pels observed a knife in between XXXandXXX, another active Maverick Street Gang Member. The knife was found to be a spring loaded knife. 

Officers issued an exit order. 

No other weapons were found inside the motor vehicle or on the parties.

XXX will be summonsed to East Boston District Court for Possession of a Dangerous Weapon(I#212078495)",1
FC21000329,2021-02-02 23:25:00,FRANKLIN HILL AVE,DORCHESTER,2124,Stopped,Probable Cause,,Passenger Car/ Automobile,2,1,1,0,0,"About 11:25 PM, on Tuesday 02/03/2021, Officer Wheeler conducted a traffic stop of MA Reg. XXXfor VALS (excessive tint) in the area of 37 Franklin Hill Avenue.

Operator / owner identified as XXX (DOB: XX/XX/XXXXprior F/A) who advised that he has a certification from the RMV for the window tints but he did not have it in his possession.

Passenger identified as XXX (DOB: XX/XX/XXXXXXX has a limited BOP but was stopped by the E5 Drug Unit in April of 2020 after a call for shots fired at Healy Field. 

Verbal warning given for window tints. Parties FIO'd & released.",0
FC20002795,2020-05-22 21:50:00,MARKET ST,BRIGHTON,2135,Stopped,Reasonable Suspicion ,,Pickup Truck,1,0,1,0,0,"At about 9:50 pm on Friday May 22, 2020, Sgt. Geoghegan observed a white GMC pick-up truck, MA XXX, on Chestnut Hill Ave, with a new looking red scooter in the bed of the truck along with two motorcycle ramps. Due to the recent uptick in scooter thefts in the Allston-Brighton area, a motor vehicle stop was conducted to inquire about the ownership of the scooter.

Sgt. Geoghegan met with the operator of the truck, XXX XX/XX/XXXXand asked if he was the owner of the scooter and he stated that he was not the owner. XXXadded that he just picked up the scooter from his friend, XXX XXX and he was going to perform some repairs at his shop in Waltham. Sgt. Geoghegan asked XXXif he had the keys and he produced the scooter keys and confirmed they were for the scooter in the bed of the truck.

XXXis the owner ofXXX in Waltham and works on and tows scooters, motorcycles, mopeds, and dirt bikes. He stated that he frequently gets ""trade-ins"" from people at his shop without seeking proof of ownership. He was advised that he should be verifying ownership from anyone seeking service, trade-ins, or tows.

XXXhas 1 on BOP for A&B and 3 juvenile entries for poss. class D, leaving scene prop., carrying dangerous weapon, and an lengthy driver history.",0
FC24001867,2024-04-30 22:26:00.0000000,NORTHAMPTON ST,ROXBURY,2118,Stopped,Reasonable Suspicion ,Body Worn Camera,Passenger Car/ Automobile,1,1,0,0,0,"R/C for a fight in progress between a male and female at XXXHarrison Avenue. 

Officers observed a black male later identified asXXX (DOB XX/XX/XXXXoperating a black Nissan Sentra (MA REG XXXat XXXNorthampton Street. XXX, 80 entries on BOP, multiple f/a.

XXXand the vehicle matched the description of one of the parties involved in the fight. Officers conducted a traffic stop outside of XXXNorthampton. XXXstated that he was with a female but that they were not involved in a fight and that he did not know her name. When asked about his relationship with the female he stated that he, ""didn't know"" if they were in a dating relationship. Officers were unable to locate the victim or identify her. XXXwas released and FIO'd for intel purposes.

D205F (Mulrean/Williams)",0
FC21003540,2021-09-10 11:20:00,HORADAN WAY,BOSTON,2120,Stopped,"Probable Cause, Reasonable Suspicion ",,Suv (sport Utility Vehicle),5,5,0,0,5,"Youth Violence Strike Force Invest.

Officers encountered a group at the rear of 9A Horadan Way by the staircase and wheel chair ramp of the building. Officers were equipped with the knowledge that the District B-2 Community Service Office has received numerous citizens complaints regarding this area. The group was smoking Marijuana. Officers encountered the group members who consisted of XXX, XXX XXX,XXXand,XXX. A firearm was recovered in the area near this group (Reference I#212064536). This investigation is active and still ongoing.",1
FC21003843,2021-09-29 16:57:00,,DORCHESTER,2124,Stopped,Reasonable Suspicion ,,Passenger Car/ Automobile,1,0,1,0,0,"Officers responded to a R/C for possible Lewd and Lascivious behavior at Fellsway Street and Milton Street, Dorchester. Witnesses stated that the Suspect XXX appeared to be masturbating in his parked vehicle (MA reg. XXXXXXstated that he was a private contractor doing work for the MBTA. XXXstated that he had urinated himself and was attempting to dry off. XXXleft the area without incident. (I212070283).

HK01F (Woods/Russell)",0
FC25004341,2025-08-09 13:44:00,MOUNT EVERETT ST,DORCHESTER,2125,Stopped,Reasonable Suspicion ," Moped, Body Worn Camera",Moped,1,0,1,0,0,"About 1:44 Am, Saturday, August 9, 2025, Officer Q. Nguyen/Officer D. Kennedy (HK01D) stopped the subject in the rear of XXXMt Everett St, for operating a XXXon a public way without an affixed plate.   The subject was released with the XXXPhotos of XXXwas added to FIOe",0
FC23001040,2023-02-25 00:00:00.0000000,FISHER AVE,ROXBURY,2120,Stopped,Reasonable Suspicion ," Body Worn Camera, Gang",Passenger Car/ Automobile,2,2,0,0,2,"T stop at hayden and fisher ave following a shotspotter incident within the Heath street development of XXX
Operator XXX (Active Mission, prior F/A)

Passenger - XXX (Active Mision, prior f/a)

Both occupants removed and frisked with negative results. It should be known upon seeing the officers vehicle the above vehicle came to a stop on Hayden, and slowly reversed back down Hayden before pulling up to Fisher Ave. Officers canvassed the immediate area and located 2 discarded blue latex gloves sitting on top of the snow.

It should also be known that XXX was extremely calm and compliant with officers, which is unusual behavior compared to past interactions.

Both occupants stated that they were coming from their friends house.XXX currently resides at XXXLawn street.

BK01F/BK02F OBRIEN/CUBARNEY/KERRIGAN/BERTOCCHI",1
FC22001196,2022-03-30 01:05:00,,BOSTON,2118,Stopped,Probable Cause,,Passenger Car/ Automobile,4,4,0,0,0,"Officers Keenan and LaRosa (DK01A) conducted a motor vehicle stop for VALs at the corner of Melnea Cass Boulevard and Tremont Street. Officers observed a yellow/tan Honda Accord bearing Massachusetts Registration XXXwith no inspection sticker.

Officers observed XXX (DOB XX/XX/XXXXdriving the vehicle. Officers observed the registered owner of the vehicle XXXXX/XX/XXXXin the front passenger seat. Officers observed XXX XX/XX/XXXXin the rear passenger seat. XXXcurrently has a suspended license and an open case for possession of a firearm without a license. XXXalso has an extensive BOP with multiple possession of a firearm without a license charges. 

Officers determined due to multiple factors including license status that no individual was able to drive the vehicle away from the scene. XXXthen called his friend XXXXX/XX/XXXXto come pick up the car. XXXhas an active license and is currently on probation in Suffolk Juvenile Court. XXXhas several charges of Unarmed Robbery on his BOP.",0
FC23002307,2023-05-05 00:00:00.0000000,FARRINGTON AVE,BRIGHTON,2134,Stopped,Reasonable Suspicion ,,Suv (sport Utility Vehicle),1,1,0,0,1,"On Friday, May 5th, 2023, members of the D14 DCU, under the direct supervision of Sgt. Det. DeLeon, were conducting drug observations in the area of XXX Farrington Avenue, Allston. Officers are familiar with this area from past drug incidents, arrests, search warrants and multiple community complaints for drug activity. 

Officers observed a black male (later identified as XXX), wearing a black hooded sweatshirt and grey sweatpants walking in the direction of XXX Farrington Avenue. Officers observed XXX to appear to be speaking into his phone and looking towards the front door of XXX Farrington Avenue. XXX then walked towards the front door of XXX Farrington Avenue and was let inside by a black male. 

After approximately 5 minutes, XXX was observed to exit the front door of XXX Farrington Avenue and enter the driver seat of a white Toyota Highlander (MA XXX) Based on officers training and experience, they believed a drug transaction had taken place. 

Officers kept surveillance on the Toyota, and requested assistance of a marked cruiser to conduct a traffic stop. The Toyota entered onto the Mass Turnpike east bound, and took exit 133 at the Prudential Center. At this time the D908 (Aziz) conducted a traffic stop at Huntington Avenue and Belvidere Street. 

Officers made contact with XXX who stated to officers that he was coming from Jim's Deli in Brighton. At this time XXX was read his Miranda Rights, in which he stated he understood. 

Officers informed XXX of their observations, and XXX initially again stated to officers he did not stop anywhere except Jim's Deli. When officers told XXX they observed him enter XXX Farrington Avenue, XXX now told officers he stopped to have sex with a friend at XXX Farrington Avenue. 

Post Miranda, XXX gave officers consent to search both his person and his vehicle. A search of both yielded negative results and XXXwas released forthwith.",1
FC23003900,2023-08-11 01:30:00.0000000,,DORCHESTER,2125,Stopped,Reasonable Suspicion ," Body Worn Camera, Gang",Passenger Car/ Automobile,2,1,0,1,0,"TS of rental vehicle bearing IL Reg XXXparked in Playstead Park. Operator XXX- Active Castle Square associate. Officers noted a large Chicago Cubs logo tattooed on the front of XXXneck to which he stated he was a fan of the baseball team. Passenger XXX stated she was XXXsignificant other.

Both parties cordial throughout. Officers advised of no parking regulations.

HK01A (MacLeod/Ruane)",0
FC25004851,2025-09-08 15:15:00,WELLES AVE,DORCHESTER,2124,Stopped,"Intel, Probable Cause", Body Worn Camera,Passenger Car/ Automobile,2,2,0,0,1,"About 2:11 PM, Monday, 09/08/2025,XXX was stopped for operating after a suspended license in Ma Reg XXX(Gray Infin SUV). XXXwas summoned and cited for the violation. XXXr) arrived on scene in Ma Reg XXX(Gray Nissan Alt) and took custody of the vehicle. Both parties have a history of F/A incidents; XXXhas one charge of discharging a F/A. For further see I# 252074865.  FIO completed for Intel and Officer Safety. (P.O. D. Kennedy / P.O. J. Pena)",1
FC23000611,2023-02-01 00:39:00.0000000,,BOSTON,2109,Stopped,Encounter, Body Worn Camera,Passenger Car/ Automobile,1,1,0,0,0,"T Stop for VALS at Hanover St./Cross St., Boston.

Officer pulled over (MA REG: XXX

Driver identified as XXX DOB: XX/XX/XXXXXXX has an open Rape case out of Middlesex Superior Court.

BWC activated.

A435A (Grady).",0
FC23000041,2023-01-02 10:00:00.0000000,,BOSTON,2124,Stopped,Reasonable Suspicion , Gang,Passenger Car/ Automobile,2,2,0,0,2,"Officers conducted a traffic stop for excessive tint on a 2010 grey Honda Accord bearing MA registration XXX

Operator:XXX(XXX // prior F/A violations)

Passenger: XXX (XXX // prior F/A violations)

As Officers stopped the vehicle both occupants immediately exited the vehicle attempting to speak with Officers. Officers were aware that XXX was arrested on 12/30/22 for assault by means on a firearm at XXXTalbot Ave. Officers frisked occupants based on their behaviors during the interaction yielding negative results. 

Verbal warning issued for the violations.

CK01D (O'Connor/Griffiths/O'Toole)",1
FC22001123,2022-03-26 02:12:00,MORTON ST,DORCHESTER,2126,Stopped,Reasonable Suspicion ,,Passenger Car/ Automobile,1,0,1,0,0,"T Stop for VALs (90/20, 90/9D) at 911 Morton Street, Mattapan.

Operator:XXX (Open F/A charge) operating white Dodge Charger (MA REG: XXXXXXtated that the vehicle belonged to his fatherXXX was cooperative throughout the stop and stated that he was going to visit a friend in the Gallivan Blvd Housing Development. He was issued a verbal warning and released.

FIO to associate XXX with vehicle.

C111A (McCarty/Turner)",0
FC21000471,2021-02-14 21:56:00,,BOSTON,2121,Stopped,Probable Cause,,Passenger Car/ Automobile,2,1,1,0,2,T-stop for VAL's resulting in B & E Invest. B2 Detectives notified.,1
FC24004708,2024-11-25 15:35:00.0000000,ESMOND ST,DORCHESTER,2121,Stopped,Reasonable Suspicion ,"Gang, Shots Fired, Body Worn Camera",Suv (sport Utility Vehicle),4,4,0,0,4,"Officers responded to a radio call for Shots Fired at Bradshaw Street and Esmond Street.

multiple shell casings located in the middle of the street.

Witness stated two males on a scooter dressed in all black brandished a firearm and began shooting at an older model tan Jeep Grand Cherokee. The witness additionally stated the Jeep fled down Esmond Street towards Harvard. 

Officer Cox observed a group of males walking on Esmond towards Bradshaw and immediately recognized them to be:XXX XX/XX/XXXX- Active XXX (Prior F/A)

XX/XX/XXXX- Active XXX (Multiple prior F/A, Robbery)XXX XX/XX/XXXX- Active XXX (Multiple prior F/A)

Upon exiting the cruiser Officer Cox observed MA REG XXXattached to a Gray 2012 Jeep Grand Cherokee sustaining damage consistent with ballistic damage along the driver side. All parties were equipped with fanny style cross-body bags and backpacks. Officer Cox observed the males to begin to quicken their pace in attempt to distance themselves from Officer Cox and enter XXX Esmond Street

All parties were stopped and frisked to no avail. All parties declined being injured and the need for EMS.

Officers encounteredXXXXX/XX/XXXX - Active XXX (B&E, 94C) exiting XXX Esmond Street who stated he was in the above MV during the shooting.

Consent form signed and completed by XXX registered owner of XXXcontinued to reference retaliation when he discovers who is responsible. ""Y'all worried about us but y'all better be on high alert this weekend""

FIO for intel

C421D/ Cox",1
FC20001640,2020-03-05 18:45:00,,BOSTON,2124,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,1,1,0,0,0,"About 6:45pm on Thursday, 03/05/2020, Officers Burke and Araujo in the C113F unit conducted a traffic of MA/Reg XXXa Black 2019 Volkswagen Jetta, for a VALS, red light violation, registered to XXX. The operator was a XXXXX/XX/XXXXa Bailey St member. XXXwas given a written warning for the violation.",0
FC20006156,2020-12-29 17:51:00,SELDEN ST,DORCHESTER,2124,Stopped,Reasonable Suspicion ," Body Worn Camera, Shots Fired",Passenger Car/ Automobile,2,1,1,0,1,Officers observed XXXt in a vehicle parked near the shots fired scene. XXXwas breathing heavily and was observed walking away from the location where shots were fired.,1
FC23004319,2023-09-05 01:50:00.0000000,MORTON ST & LORNA RD,BOSTON,2126,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,3,3,0,0,3,"Tstop for VALS (Red Light Violation) of MA REG: XXXat Morton St & Lorna Rd, Dorchester.

Op identified as (XXX - Prior 94C) Front seat Passenger Identified XXX- prior Kidnapping & ABDW) & rear seat passenger identified as (XXX.

Upon approach of the vehicle, Both Officers on scene observed numerous concerning observations of the passenger XXXto be shaking, rapid pace of breathing & failing to make eye contact with Officers. Officers also observed XXXto have a slight tremble in his speech / dialect as well.

Based on these observations, Officers conducted an exit order of all occupants in the vehicle. Both the vehicle & all occupants were pat frisked for weapons which yielded negative results.

It should be noted during the pat frisk of XXXhe became verbally frustrated with Officers on scene. XXXexpressed that he felt like Officers were touching his genitals in a inappropriate fashion, that didn't consist with the correct way of a pat frisk. Multiple Officers on scene relayed this to XXXand that their intention as well as there doing was not the case.

Written Citation issued.

FIO'D to associate all occupants with M/V.

C111A (T. Champagnie // P. Champagnie)",1
