fc_num,contact_date,street,city,zip,circumstance,basis,key_situations,vehicle_type,sex,race,ethnicity,age,build,skin_tone,was_frisked,narrative
FC23000007,2023-01-01 11:15:00,BRINSLEY ST,DORCHESTER,2121,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,28.0,Thin,,0,"Traffic stop 90/14 (Turn Signal Failure to use) & 90/9D (Excessive Window Tint) MA Reg XXXat Brinsley & Columbia Rd. OP identified as XXX (No Bop) Front passenger identified asXXX (XXX Associate ) prior distribution of Class D. Operator was very cordial throughout interaction. Passenger was very animated as well as extremely agitated through the stop, making it known to the Officer. FIOE to associate occupants with MA Reg XXXH498D (Champagnie)."
FC23000009,2023-01-01 16:15:00,BOYLSTON ST,BOSTON,2116,Stopped,Reasonable Suspicion , Body Worn Camera,,Male,Black,Unknown,52.0,Medium,Dark,1,"Officers stopped XXX (DOB XX/XX/XXXXinside the entrance to Chinatown T Station. XXXmatched the description of a ""person with a gun"" call inside the Burker King at Tremont St and Winter St that day shift Officers responded to at 3:07 PM. XXXwas pat frisked, yielding two black folding knives. XXXstated he did get into a confrontation with a male party who would not get out of his way inside the entrance to Burger King. XXXstated the male party, who he did not know, put his hand on a folding knife that he had in his pocket, so XXXthen showed the male party a knife that he had in his pocket. At no time were the knives brandished. Ostholthoff/McCullough (A103F), Hiltunen/Marchand (A202F)"
FC23000011,2023-01-01 17:00:00,,DORCHESTER,2124,Stopped,Reasonable Suspicion , Drugs,,Male,Black,Not of Hispanic Origin,45.0,Thin,Medium Brown,1,"Under the direction of Sgt. Det. Champagnie, members of Drug Control Unit detailed to District B3 were in the area of Blue Hill Av and Morton St, Mattapan, conducting a drug investigation on Sunday Jan 1, 2023. While in the area mentioned above, members of the B3 DCU observed one,XXXt (DOB XX/XX/XXXXmeet with an unknown female at the Mobile Gas Station. Officers observed both parties engaging in what appeared to be a hand to hand transaction. XXXwas further observed walking away and placing an unknown item in his coat pocket. Members of the B3 DCU stopped XXXand explainined the reason for police interaction. A pat frisk of XXXperson was conducted for any weapons or drugs. The pat frisk resulted in negative results for any weapons or drugs. XXXwas FIO'ed and released from the scene."
FC23000013,2023-01-01 17:45:00,STUART ST,BOSTON,2116,Stopped,Probable Cause, Body Worn Camera,,Male,Black,,39.0,Medium,Dark,0,"Officers stopped XXX (DOB XX/XX/XXXXafterXXX staff (who gave him a free plate of food) reported he caused a disturbance inside the restaurant when staff refused to give him more food when he asked; when told to leave, XXXbegan shouting profanities and swinging his cane near other patrons. XXXis well-known to District A1 Officers. History of Class B distribution, robbery, threats and assault-related charges. Multiple open cases. XXXwas told not to return to the restaurant again or be subject to arrest for trespassing. Ostholthoff/McCullough (A103F)"
FC23000018,2023-01-01 18:27:00,PARIS STREET,BOSTON,2128,Encountered,Encounter,,,Male,White,Hispanic Origin,33.0,Medium,,1,"Officers encounteredXXX (DOB XX/XX/XXXXin the lobby of District A-7. XXXwas speaking in a nonsensical and paranoid manner about individuals who wanted to harm him at the N Farra Bar. XXXwas emanating an odor of alcoholic beverage and told officers he had used cocaine during the day. EMS was called for an eval, which XXXrefused. The BEST team was called via BPD operations channel 2, however no one was from the BEST team was monitoring. XXXwas given a ride home by officers. It should be noted that this is the second consecutive day that officers have encountered XXXacting in this manner (see report #I222099599), and that there have been numerous other interactions with XXXsince November 2022 during which he has displayed similar behavior. G101F (Byrnes/Maldonado)"
FC23000017,2023-01-01 21:10:00,,BOSTON,2119,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,37.0,,,0,T/S for VALS (Speeding and Headlights) on a 2022 Red Dodge Charger (CN REG: XXXOperator identified asXXX (Prior F/A and 94c). XXXstated that he just rented the m/v and was dropping his cousin off on Castlegate Road. FIO to associate XXXwith m/v. B201F (Gilmore/Ryan)
FC23000019,2023-01-01 22:28:00,,BOSTON,2128,Stopped,Reasonable Suspicion , Body Worn Camera,Passenger Car/ Automobile,Male,White,Hispanic Origin,26.0,,,1,"GK01F conducted traffic stop on MA registration XXXfor val's. Operator XXX XX/XX/XXXXwhen asked for license suspect opened driver door and pulled out a small mobile radio, flashing a gold security badge necklace. Officer instructed operator to produce his license to which he produced an active Columbian license not translated into English. Operator didn't speak English and through translation officers determined that XXXis the security officer for the XXX bar. Suspect was operating XXX owner XXX vehicle and he spoke with officers on scene in which the vehicle was left in a parking spot in front of restaurant. CJIS check was completed on XXXXXXwith negative results. XXXXXXwas issued verbal warning for VAL and instructed not to flash his security badge to police officers."
FC23000022,2023-01-01 22:30:00,COLUMBIA RD,DORCHESTER,2121,Stopped,Probable Cause, Body Worn Camera,,Male,Unknown,,16.0,,,1,"Officers stopped XXX in the rear stairwell of XXXColumbia after a black moped fled from Officers in the area of Olney St and Geneva Ave. Officers lost sight of the moped on Vaughn Ave but were aware there is a small ally way in the rear of XXXColumbia Rd that is routinely used by juveniles. Officers observed the rear door of the building to be open, entered the building and stopped XXXin the rear stairwell. XXXwas wearing a black puffy jacket, gray hooded sweatshirt, gray sweatpants and a black fanny pack across his chest, the same clothing worn by the rear passenger. Pat frisk of XXXyielded negative results. Search of the area for discarded items yielded negative results. XXXadmitted to Officers that he was the rear passenger on the moped but XXXwas driving. XXXhas been stopped withXXX associates and after SSA. FIO'd and released. HK01F (E. Foley/O. Russell)"
FC23000039,2023-01-02 00:00:00,,DORCHESTER,2121,Encountered,Encounter, Body Worn Camera,Suv (sport Utility Vehicle),Male,Black,Not of Hispanic Origin,30.0,Thin,Light Brown,0,"About 11:25am on 01/02/23, Officers encounteredXXXl (DOB: XX/XX/XXXX- Active Castlegate - Multiple Previous Firearms) walking out of the corner store at Castlegate Road and Blue Hill Avenue. XXXwas cordial with Officers stated he was visiting his mother's house on Columbia Road but currently resides in Braintree. Officers observed XXXexit and enter NY REG: XXX(2021 Gray Ford Escape). FIOE to associate with vehicle. CK01D - Griffiths/O'Connor/O'Toole"
FC23000056,2023-01-02 00:00:00,THEODORE ST,DORCHESTER,2124,Stopped,Reasonable Suspicion , Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,24.0,Thin,,0,"TS for Vals (90:17) of a black BMW (Ma Reg# XXXin front of XXXTheodore St. Operator identified asXXX (XXX, multiple F/A offenses). XXXwas extremely uncooperative and hostile towards officers. XXXrefused to hand proper documents to officers before speaking with a Patrol Supervisor. XXXstated he currently lives at XXXTheodore street. Written warning for speed (90:17) mailed to XXX FIO to associate address with XXX C113F (Fantaroni, Araujo)"
