fc_num,contact_date,street,city,zip,circumstance,basis,key_situations,vehicle_type,sex,race,ethnicity,age,build,skin_tone,was_frisked,narrative
FC25000009,2025-01-01 14:45:00,ARGYLE ST,DORCHESTER,2124,Encountered,Intel,"Body Worn Camera, Gang",,Male,Black,Not of Hispanic Origin,15.0,Thin,Dark Brown,0,"Officers encountered XXX (Wheatland Ave ties, open F/A) at Welles Ave and Argyle St. Officers briefly engaged XXXin conversation. XXXgrew increasingly hostile during conversation and stated officers were harassing him. XXXwas wearing a black sweatshirt with Cape Cod written on the front, light blue jeans, black Jordan sneakers with gray/white soles, and a gray face covering. XXXwalked into XXXArgyle St. FIO'd to document behavior/intel. HK01D (E. Foley/Keohan)"
FC25000011,2025-01-01 17:15:00,NEW CHARDON ST,BOSTON,2114,Stopped,Probable Cause,Body Worn Camera,,Male,Black,Not of Hispanic Origin,26.0,Thin,,1,"On Wednesday, 01-01-25 PM Officers stopped XXX in the area of XXXNew Chardon Street behind the courthouse for trespassing. Officers conducted a CJIS inquiry which yielded negative results. Officers conducted a pat frisk which yielded negative for weapons. Officers informed XXXhe was trespassing and advised him to leave the area. XXXBOP consists of Attempted Murder, Armed Robbery, Kidnapping, Assault to Rape, and ABDW. Whalen/Woods (A202F)"
FC25000014,2025-01-01 19:15:00,,BOSTON,2119,Stopped,Probable Cause,"Homeless, Body Worn Camera",,Male,Black,Not of Hispanic Origin,47.0,Medium,Dark,1,7:12 pm 01/01/2025 Observed male at the corner of Massachusetts Avenue and Albany Street with a similar clothing description and close facial features of a person of interest in a BE M/V where a firearm was stolen. Male was observed with a similar wheelchair and a grayish long coat with a fur hood. Officers conducted a pat frisk but did not locate a firearm. During the pat frisk it sounded as if the subject stated no gun after being asked if he had anything sharp on him. Officers were able to identify the male asXXX XX/XX/XXXXPictures were added to FIO for reference.
FC25000032,2025-01-02 00:00:00,TALBOT AVE,BOSTON,2124,Stopped,Probable Cause,Body Worn Camera,Passenger Car/ Automobile,Male,Black,,17.0,,,1,TS for Vals (90/17 Speeding) at XXXTalbot of a blue Kia Forte (Ma Reg#: XXXOperator identified as XXX(No Bop). Due to license status and observations on scene exit order issued and officers recovered a realistic Glock Style BB-Gun from XXXjacket pocket. XXXsister came and took custody of the vehicle and stated his actual name is XXX. XXXsummonsed for VALS. FIO for officers safety and to link XXXto motor vehicle. Fantaroni / Mclaughlin.
FC25000018,2025-01-02 00:05:00,,DORCHESTER,2125,Stopped,Probable Cause,Gang,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,26.0,Medium,Dark Brown,0,"12:05 AM T-Stop for VALS (Headlight Out 90/7 & Illegal U-Turn 90/14) of MA REG XXXBlack Toyota Camry at Columbia Rd and Mass Ave. Op: XXX (Prior Armed Robbery, 94c) Active Columbia Point. Verbal warning issued for VALS. FIO'd to associate with the vehicle and the area. F441A (Walsh)"
FC25000019,2025-01-02 01:01:00,ADAMS ST,DORCHESTER,2122,Stopped,Probable Cause,"Warrant Arrest, Body Worn Camera",,Male,Black,Unknown,53.0,Medium,Medium Brown,1,"Subject Stop of XXX XX/XX/XXXXat XXXAdams Street (Domino's Pizza). XXXwas wearing a gray hooded sweatshirt, black t-shirt, blue jeans and black Adidas sneakers with white stripes and white sole carrying a blue Jansport backpack . XXXhas a lengthy BOP which consists of ( Shoplifting, RSP, B&E, Larcenies etc..) XXXis known to be in the area of Dorchester Ave/Adams Street, more specifically around the Citizen Bank, Bank of America and Domino's Pizza. A CJIS query revealed XXXto have outstanding warrants out of Boston. XXXwas placed under arrest and transported to the base without incident. HK01A (Pina/Vraibel)"
FC25000020,2025-01-02 02:25:00,,DORCHESTER,2125,Stopped,Probable Cause,,Suv (sport Utility Vehicle),Male,Unknown,,26.0,Thin,,0,2:25 AM T-Stop for VALS (No Front Plate 90/6) of MA REG XXXWhite Dodge Nitro at Columbia Rd and Eastman St. Op: XXX(Prior F/A's). XXXwas recording and verbally confrontational with the officer during the stop. Verbal warning issued for VALS. FIO'd to associate with the vehicle and the area. F441A (Walsh)
FC25000023,2025-01-02 10:15:00,PLANT CT,JAMAICA PLAIN,2130,Stopped,Probable Cause,"Warrant Arrest, Gang",,Male,White,,16.0,Thin,Light,1,"YVSF Intel--VK23 During booking for I# 242108920, XXXself admitted to XXX gang affiliation, and was noted to have a XXX gang tattoo on his right forearm (XXX."
FC25000024,2025-01-02 11:40:00,WHITTEN ST,DORCHESTER,2122,Stopped,Probable Cause,Body Worn Camera,,Male,Black,Not of Hispanic Origin,24.0,Thin,Light Brown,0,"T/S (stop sign/use of cell phone) of NH REG XXXat XXXWhitten St. Op identified as XXX(open F/A, 94c). XXXhas been stopped with Academy associates in the past. XXXwas cordial and respectful throughout stop. Verbal warning issued for VALs. FIO'd to associate with m/v. HK01D (E. Foley/Keohan/Sgt Vest)"
FC25000025,2025-01-02 14:47:00,TREMONT ST,BOSTON,2108,Observed,Intel,Body Worn Camera,,Male,Black,,,,,0,"About 2:47pm on Thursday, 01/02/2025, Officer Eaton assigned to the A425D was conducting a code 19 (walk and talk) at Tremont and Winter Street. It should be noted Officers are routinely assigned to directed patrols in this area due to large number of quality-of-life crimes that occur. As part of directed patrols officers seek to decrease certain quality of life crimes like open air drug distribution, public drinking and drug use. While on the Code 19, Officer Eaton observed multiple individuals huddling inside of the Burger King vestibule. Moments later the Officer observed one of the individuals (W/M wearing a black puffy jacket and blue jeans) exit and clinching his fist it appeared that he received an item from another male (B/M with dreads wearing all black) and proceeded to the Boston Commons. That other involved male walked out of the vestibule counting money, that subject went down the Park Street T-station. Documented for intel."
FC25000026,2025-01-02 15:00:00,WASHINGTON ST,DORCHESTER,2124,Stopped,Reasonable Suspicion,Body Worn Camera,,Male,Black,Not of Hispanic Origin,54.0,Thin,Dark,0,"About 3:00 PM, Thursday, January 2, 2025, Officer D. Kennedy (H701), while on a Code 19 (P250002432) at XXXWashington St (CVS) stopped the subject XXXwho had concealed the above merchandise (DayQuil / NYQuil) while within the store. XXXwas verbally trespassed, and the merchandise was returned. No warrants located. Prior Larceny & Shoplifting chargers on B.O.P. Updated photo of XXXattached to FIO. P.O. MacDonald (H702), P.O. Sullivan (H703), P.O. Tarris (H704), P.O. Russell (H705), & P.O. Peinkoer (H706)."
FC25000036,2025-01-02 17:19:00,BLUE HILL AVE,MATTAPAN,2126,Stopped,Reasonable Suspicion,"Drugs, Body Worn Camera",,Male,Black,Hispanic Origin,46.0,Stocky,,1,"Officers while in the area for a Disturbance at Mattapan House of Pizza XXXBlue Hill Ave), observed XXX DOB XX/XX/XXXX(prior 94c including Federal Charges on BOP) initially inside Dunkin Donuts XXXBlue Hill Ave). Officers observed XXXinitially to be wearing a black winter coat while inside of Dunkin Donuts. Officers are familiar with XXXfrom previous interactions within the area including XXXFremont St and Mattapan Square. Officers then observed XXXremove the jacket, hang it up within Dunkin Donuts and then exit the store. Due to this behavior, Officers believed that XXXmay have been attempting to distance himself from the jacket and potentially any illegal substances or other objects within. Officers entered the store and asked if anyone within owned the jacket to which one of the employees stated that the owner had just walked in. Officers pat frisked the jacket which yielded negative results. XXXre-entered the store and spoke with Officers and almost immediately stated that he wasn't selling drugs without being asked any questions about his business in Mattapan Square. Officers explained their concerns about the jacket being left to XXXwho was then FIO'd and Released. C426F (Kennedy) / C660F (O'Halloran)"
FC25000034,2025-01-02 18:35:00,ANNUNCIATION RD,ROXBURY,2120,Stopped,Encounter,,Passenger Car/ Automobile,Male,,Not of Hispanic Origin,27.0,Unknown,,0,Housing POs MV stop on XXX (Prior F/A) for excessive tints and illegal parking/blocking main street at XXXAnnunciation Road. XXXwas operating (MA Reg XXXBlack Infiniti Q50). XXXwas non cordial with officers but did comply. Officers advised XXXto move his MV to a legit parking spot. FIO to associate individual with location
