fc_num,contact_date,street,city,zip,circumstance,basis,key_situations,vehicle_type,sex,race,ethnicity,age,build,skin_tone,was_frisked,narrative
FC20000011,2020-01-01 19:15:00,,BOSTON,2119,Stopped,Reasonable Suspicion , Gun,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,36.0,,,1,Officers stopped the above m/v in relation to a possible F/A possession. Operator XXX was frisked along with the m/v to no avail. BK03F (O'Loughlin/Holmes) BK01F (O'Dwyer/Higgins)
FC20000012,2020-01-01 19:27:00,,BOSTON,2119,Stopped,Reasonable Suspicion ,,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,40.0,Medium,,1,Officers stopped the above m/v for VAL's. Operator was XXX who had an extensive history around firearms and drugs. XXX was advised to park the vehicle and not drive due to his license status. BK03F (O'Loughlin/Holmes) BK01F (O'Dwyer/Higgins)
FC20000022,2020-01-02 10:45:00,,BOSTON,2131,Stopped,Encounter, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,32.0,Medium,,0,"At approximately 10:45 am, Officer Murray (JT55) pulled overXXXin his motor vehicle (2007 Honda Accord bearing MA Registration XXX) for Speeding (52 in a 30 mile per hour zone) on Hyde Park Avenue. During the stop,XXXbecame upset and argumentative stating that Officer should have pulled him over sooner, and that he was now ""inconvienced"" because he would be late to his doctor's appointment. Officer Murray issuedXXXa citation for speeding (XXX; $220).XXXthen left the area, as did Officer Murray. At approximately 12:20 pm, after conducting a traffic stop, Officer parked in the same place on Hyde Park Avenue and observedXXXstanding on Hyde Park Avenue and Larch Place videoing the officer, his cruiser. A vehicle beeped atXXXto move his vehicle, which was parked on Larch Place, so they could get out. He ceased recording and left the area. Original traffic stop captured on Officer Murray's body camera."
FC20000043,2020-01-03 00:55:00,,CHARLESTOWN,2129,Stopped,Probable Cause," Body Worn Camera, Gang",Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,26.0,Heavy,,1,"Vehicle was stopped at 0055 for a suspended registration on Chelsea and Warren Streets. The owner, XXX (active Charlestown Blood member), was operating the vehicle. Vehicle was towed and XXX was Cited and summonsed to Charlestown Court. Motor Vehicle Inventory was completed. Vehicle was originally observed leaving the Charlestown projects. CJIS inquiry showed multiple drug and firearm charges. No Warrants. FIOE for intell purposes only A411A McKunes"
FC20000045,2020-01-03 01:29:00,,BOSTON,2119,Stopped,Reasonable Suspicion ," Body Worn Camera, Gang",Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,30.0,Medium,,0,"Traffic stop of MA REG of XXX for speeding in the area of Dudley and Brook Ave. Operator was XXX (Wendover).XXX stated he was coming from the hospital where he was for the birth of his new son, XXXi. Verbal warning issued"
FC20000069,2020-01-04 02:00:00,,BOSTON,2121,Stopped,Probable Cause,,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,26.0,Thin,,0,"About 2:00am on 01/04/2020, Officers Kelly and Russell assigned to the HK01A conducted a traffic stop at the intersection of Richfield and Barry Street. Officers were conducting surveillance in the above area due to an increase of 911 calls for suspicious persons/vehicles in the area and concerns of drug usage/sales. Officers observed MA REGXXX driving with no headlights on and suddenly change his direction of travel upon sight of the officers. The driver was identified as XXX, who has prior record of firearms and drug possession and sales. Verbal warning issued for vals. FIO'd and released."
FC20000071,2020-01-04 00:50:00,DORCHESTER AVE,BOSTON,2127,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Hispanic Origin,21.0,,,1,"TS for VALS of MA Reg.XXX. Vehicle had multiple inquiries to include remarks ""MALDEN COUNTERFEIT $100 BOLO"" The driver was identified as XXX (XX/XX/XXXX). No counterfeit currency was located in the vehicle."
FC20000070,2020-01-04 02:01:00,,BOSTON,2119,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Hispanic Origin,22.0,Medium,,0,"Traffic stop at Melnea Cass between Hampden Street and Massachusetts Avenue on MA XXXfor VALs. Officers identified XXX XX/XX/XXXX) who was operating on a suspended license. The vehicle is a blacked out 2014 Ford Explorer Interceptor model with the spotlight still affixed. XXX stated he purchased the vehicle at an auction for $8k and kept the spotlight for ""camping purposes."" XXX's girlfriend was able to take custody of the vehicle and stated ""cops wave to us all the time."" All emergency lights and decals were removed from the vehicle prior to the auction. Summoned for VALs. FIO'd for intel. D101A (Doolan/Monahan)"
FC20000079,2020-01-05 01:10:00,,BOSTON,2128,Stopped,Reasonable Suspicion ,,Passenger Car/ Automobile,Male,Black,Hispanic Origin,28.0,,,1,OFFICERS CONDUCTED A TRAFFIC STOP ON XXXXXXON XXXVERICK STREET AND CHELSEA STREET. THE OPERATOR STATED TO OFFICERS THAT HE HAD BEEN DRINKING EARLIER IN THE EVENING. OFFICERS OBSERVED THE OPERATOR HAVING GLOSSY EYES AND SMELLED BURNT XXXRIJUANA AS SOON AS OFFICERS APPROACHED THE OPERATOR'S WINDOW. OFFICERS CONDUCTED A FIELD SOBRIETY TEST ON THE OPERATOR WHICH RESULTED IN NEGATIVE RESULTS. THE OPERATOR WAS WEARING A LIGHT GRAY CHAMPION HOODIE WITH THE SAME COLOR SWEATPANTS WITH RED CHAMPION SLIPPERS. OFFICERS ALSO OBSERVED A YELLOW CARHARTT JACKET ON THE FRONT PASSENGER SEAT. OFFICERS ALSO OBSERVED BLACK/GRAY NIKE GLOVES.
FC20000093,2020-01-06 00:30:00,MASSACHUSETTS AVE,ROXBURY,2118,Stopped,Reasonable Suspicion ,,Passenger Car/ Automobile,Female,Black,Not of Hispanic Origin,23.0,Medium,,1,"Traffic stop for excessive tint, operator XXX. XXX was operating a blue Honda Accord MA Reh XXX. XXX had a suspended license and comments in CJIS indicated there may be a firearm in the vehicle. Vehicle was frisked and yielded negative results. XXX was summonsed and cited for excessive tint. Hull/ O'Leary F102A"
FC20000095,2020-01-06 02:45:00,MASSACHUSETTS AVE,BOSTON,2118,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,34.0,Medium,,1,"TS for VALS, owner/opXXX listed as Crown Path inactive. Mr.XXX has F/A charges on BOP.XXX had large knife in right pocket plainly visible to officers, vehicle andXXX frisked to no avail O'Leary/Hull"
FC20000117,2020-01-06 17:49:00,TREMONT ST,BOSTON,2111,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,31.0,,,1,OFFICERS CONDUCTED A TRAFFIC STOP FOR VALS IN THE AREA OF 151 TREMONT ST OFXXX A GRAY 2018 NISSAN ALTIMA RENTAL. THE OPERATOR XXX HAS PRIOR CLASS B/D AND FIREARM CHARGE ON THE BOP. XXX OPERATORS LICENSE WAS SUSPENDED AS OF 1-6-20. OFFICERS WERE ABLE TO PARK THE MOTOR VEHICLE IN A LEGAL SPOT AS XXX AWAITED THE ARRIVAL OF A FRIEND WITH AN ACTIVE DRIVERS LICENSE TO OPERATE THE VEHICLE. AK01F
FC20000116,2020-01-06 17:50:00,TREMONT ST,BOSTON,2111,Stopped,Encounter, Body Worn Camera,Suv (sport Utility Vehicle),Female,White,Not of Hispanic Origin,43.0,,,0,"Officers while off on a traffic stop observed a white 2016 Mazda CX5 stopped right next to the Officers conducting their traffic stop with the emergency hazards activated in the middle lane of Tremont Street. Officers observed the vehicle operator to be a white female, later identified as XXX (DOBXX/XX/XXXX, who began to interfere with the Officers traffic stop for no particular reason. XXX demanded to know the reason why the Officers had stopped the black male operator of their initial traffic stop and she began filming Officers with her cellphone. Officer McGahan ordered XXX to pull over for obstruction travel (Ch. 89 Sec. 2) and for improper use of emergency hazards (Ch. 90 Sec. 7). XXX was extremely confrontational during the traffic stop and made biased and racial remarks towards the Officers. AK01F (McGahan/D'Addieco)"
